id,top_priority,title,src_endpoint_id,html_src_output,html_esb_ctrl,html_dst_input,html_dst_reply,html_any_xsmall,html_any_small,html_any_medium,html_any_big,searching_tag1,searching_tag2,searching_tag3,searching_tag4,searching_tag5,searching_tag6,searching_tag7,searching_tag8,searching_tag9,searching_tag10,searching_tag11,searching_tag12,searching_tag13,searching_tag14,searching_tag15,searching_tag16,searching_tag17,searching_tag18,searching_tag19,searching_tag20
1,1,"проверка соединения",NAV,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">    
</head>
<body>
<pre>
USE [SimpleERP]
GO
EXEC [dbo].[web_dxbx_getConnectionBody] 
</pre>
</body>
</html>","<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">    
</head>
<body>
	http://msk10websvc2:8888/jservice/dxbx/connection   
</body>
</html>","<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">    
</head>
<body>
Docs In Boxs: https://dxbx.ru/api/json/v2
</body>
</html>","<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">    
</head>
<body>
<pre>
{
  ""result"": ""OK""
}
</pre>
</body>
</html>",NULL,NULL,NULL,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>Title</title>
	<style type=""text/css"">
.key {  
  color: #336; 
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
}
.comment {  
  color: #8e0058; 
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
}
pre {
  background-color: #fcfcfc;
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
  margin-bottom: 10px;
  max-height: 600px;
  min-width: 40px;
  max-width: 1900px;
  white-space: pre-wrap;       /* CSS 3 */
  white-space: -moz-pre-wrap;  /* Mozilla, since 1999 */
  white-space: -pre-wrap;      /* Opera 4-6 */
  white-space: -o-pre-wrap;    /* Opera 7 */
  word-wrap: break-word;       /* Internet Explorer 5.5+ */
  padding: 5px;
}
</style>
</head>
<body>
<pre>
{
  <span class=""key"">""clazz""</span>: ""com.simple"", 
  <span class=""key"">""juuid""</span>: ""FFB71A10-B97A-4092-A315-662318A5ACD3"",
  <span class=""key"">""eventId""</span>: ""OKTELL_EMPLOYEE"",
  <span class=""key"">""body"":</span> ""{	
		""employees"": {
			""employee"": {
				""Manager_Employee"": ""С"",<span class=""comment"">-- комментарий #1</span>
				""IDM"": ""EMP03580"",<span class=""comment"">-- комментарий #2</span>
				""CFO"": ""СБ-01-100"",<span class=""comment"">-- комментарий #3</span>
				""Name"": ""Клименков Алексей Владимирович""<span class=""comment"">-- комментарий#4</span>
			}
		}
	}"",    
  <span class=""key"">""url"":</span> ""http://msk10oktell1/inbound_message"",
  <span class=""key"">""contentType"":</span> ""ApplicationJson""
}  
</pre>
</body>
</html>",NAV,dxbx,tset,tset,tset,tset,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,0,"схема взаимодействия по справочникам",NAV,NULL,NULL,NULL,NULL,NULL,"
<!DOCTYPE html>
 <html lang=""en"">
 <head>
     <meta charset=""UTF-8"">    
 </head>
 <body>
   <img src=""../../assets/img/api/oktell1.png"" width=""747"" height=""400"" 
 </body>
 </html>",NULL,NULL,NAV,oktell,btx,dxbx,isimple,crm,one,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,0,"схема взаимодействия по документам",NAV,NULL,NULL,NULL,NULL,NULL,"
<!DOCTYPE html>
 <html lang=""en"">
 <head>
     <meta charset=""UTF-8"">    
 </head>
 <body>
   <img src=""../../assets/img/api/oktell2.png"" width=""795"" height=""400"" 
 </body>
 </html>",NULL,NULL,NAV,oktell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,"проверка юр.лиц",NAV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NAV,dxbx,tset,tset,tset,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,3,"отправка инвойса",NAV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NAV,dxbx,tset,tset,tset,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
349357f0-c0c2-30f2-e10a-b852c04fa59c,1,qwerty,NAV,dasdasdas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NAV,one,crm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,1,primer,NAV,2131231231312,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NAV,oktell,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,2,"карточка сотрудника",NAV,"<!DOCTYPE html>
<!DOCTYPE html>
 <html lang=""en"">
 <head>
     <meta charset=""UTF-8"">    
 </head>
 <body>
 <pre>
 USE [SimpleERP]
 GO
 EXEC [dbo].[web_callcenter_getEmployee]
 </pre>
 </body>
 </html>","<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">    
</head>
<body>
<pre>
Инициатор: OKTELL
GET-запрос:
http://msk10websvc2:8888/jservice/cc/employee 
</pre>
</body>
</html>","<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">    
</head>
<body>
OKTELL: метод неизвестен
</body>
</html>",NULL,NULL,NULL,NULL,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>Title</title>
	<style type=""text/css"">
.key {  
  color: #336; 
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
}
.comment {  
  color: #8e0058; 
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
}
pre {
  background-color: #fcfcfc;
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
  margin-bottom: 10px;
  max-height: 600px;
  min-width: 40px;
  max-width: 1900px;
  white-space: pre-wrap;       /* CSS 3 */
  white-space: -moz-pre-wrap;  /* Mozilla, since 1999 */
  white-space: -pre-wrap;      /* Opera 4-6 */
  white-space: -o-pre-wrap;    /* Opera 7 */
  word-wrap: break-word;       /* Internet Explorer 5.5+ */
  padding: 5px;
}
</style>
</head>
<body>
<pre>
{
  <span class=""key"">""clazz"":</span> ""com.simple.server.domain.contract.UniMinMsg"",
  <span class=""key"">""juuid"":</span> ""FFB71A10-B97A-4092-A315-662318A5ACD3"",
  <span class=""key"">""eventId"":</span> ""OKTELL_EMPLOYEE"",
  <span class=""key"">""body"":</span> ""{
	""employees"":{
		""employee"":{
			<span class=""key"">""Manager_Employee"":</span>""С"",
			<span class=""key"">""IDM"":</span>""EMP03580"",
			<span class=""key"">""CFO"":</span>""СБ-01-100"",
			<span class=""key"">""Name"":</span>""Клименков Алексей Владимирович""
					}
		}
   }"",
  <span class=""key"">""url"":</span> ""http://msk10oktell1/inbound_message"",
  <span class=""key"">""contentType"":</span> ""ApplicationJson""
}
  
</pre>
</body>
</html>",NAV,oktell,tset,tset,tset,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,3,"контакты клиента",NAV,"<!DOCTYPE html>
<!DOCTYPE html>
 <html lang=""en"">
 <head>
     <meta charset=""UTF-8"">    
 </head>
 <body>
 <pre>
 USE [SimpleERP]
 GO
 EXEC [dbo].[web_callcenter_getContactCustomer]
 </pre>
 </body>
 </html>","<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">    
</head>
<body>
<pre>
Инициатор: OKTELL
GET-запрос:
http://msk10websvc2:8888/jservice/cc/contact_customer
</pre>
</body>
</html>","<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">    
</head>
<body>
OKTELL: метод неизвестен
</body>
</html>",NULL,NULL,NULL,NULL,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>Title</title>
	<style type=""text/css"">
.key {  
  color: #336; 
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
}
.comment {  
  color: #8e0058; 
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
}
pre {
  background-color: #fcfcfc;
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
  margin-bottom: 10px;
  max-height: 600px;
  min-width: 40px;
  max-width: 1900px;
  white-space: pre-wrap;       /* CSS 3 */
  white-space: -moz-pre-wrap;  /* Mozilla, since 1999 */
  white-space: -pre-wrap;      /* Opera 4-6 */
  white-space: -o-pre-wrap;    /* Opera 7 */
  word-wrap: break-word;       /* Internet Explorer 5.5+ */
  padding: 5px;
}
</style>
</head>
<body>
<pre>
{
  <span class=""key"">""clazz""</span>: ""com.simple.server.domain.contract.UniMinMsg"",
   <span class=""key"">""juuid""</span>: ""DEA244DF-6F11-49A5-A18F-4B574619DAC8"",
   <span class=""key"">""eventId""</span>: ""OKTELL_CONTACT_CUST"",
   <span class=""key"">""body""</span>: ""{
		""customers"": {
			""customer"": {
				""Type"": ""e"",<span class=""comment"">-- тип-константа ""e""</span>
				""IDM"": ""К42627"",<span class=""comment"">-- код менеджера</span>
				""Value"": ""bm.pablo84@gmail.com"",<span class=""comment"">-- e-mail</span>
				""Code"": ""К42627_1"",<span class=""comment"">-- комментарий#1</span>
				""Source"": ""N"",<span class=""comment"">-- комментарий#1</span>			
			}
		}
	}"",
   <span class=""key"">""url""</span>: ""http://msk10oktell1/inbound_message"",
   <span class=""key"">""contentType""</span>: ""ApplicationJson""
}
  
</pre>
</body>
</html>",NAV,oktell,tset,tset,tset,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,4,"контакты сотрудника",NAV,"<!DOCTYPE html>
<!DOCTYPE html>
 <html lang=""en"">
 <head>
     <meta charset=""UTF-8"">    
 </head>
 <body>
 <pre>
 USE [SimpleERP]
 GO
 EXEC [dbo].[web_callcenter_getEmployee]
 </pre>
 </body>
 </html>","<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">    
</head>
<body>
<pre>
Инициатор: OKTELL
GET-запрос:
http://msk10websvc2:8888/jservice/cc/contact_employee
</pre>
</body>
</html>","<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">    
</head>
<body>
OKTELL: метод неизвестен
</body>
</html>",NULL,NULL,NULL,NULL,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>Title</title>
	<style type=""text/css"">
.key {  
  color: #336; 
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
}
.comment {  
  color: #8e0058; 
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
}
pre {
  background-color: #fcfcfc;
  font-family: Consolas,Menlo,Monaco,Lucida Console,Liberation Mono,DejaVu Sans Mono,Bitstream Vera Sans Mono,Courier New,monospace,serif;
  margin-bottom: 10px;
  max-height: 600px;
  min-width: 40px;
  max-width: 1900px;
  white-space: pre-wrap;       /* CSS 3 */
  white-space: -moz-pre-wrap;  /* Mozilla, since 1999 */
  white-space: -pre-wrap;      /* Opera 4-6 */
  white-space: -o-pre-wrap;    /* Opera 7 */
  word-wrap: break-word;       /* Internet Explorer 5.5+ */
  padding: 5px;
}
</style>
</head>
<body>
<pre>
{
   <span class=""key"">""clazz""</span>: ""com.simple.server.domain.contract.UniMinMsg"",
   <span class=""key"">""juuid""</span>: ""DEA244DF-6F11-49A5-A18F-4B574619DAC8"",
   <span class=""key"">""eventId""</span>: ""OKTELL_CONTACT_EMPLOYEE"",
   <span class=""key"">""body""</span>: ""{
		""customers"": {
			""customer"": {
				""Type"": ""e"",<span class=""comment"">-- тип-константа ""e""</span>
				""IDM"": ""К42627"",<span class=""comment"">-- код менеджера</span>
				""Value"": ""bm.pablo84@gmail.com"",<span class=""comment"">--e-mail</span>
				""Code"": ""К42627_1"",<span class=""comment"">-- комментарий#1</span>
				""Source"": ""N"",<span class=""comment"">-- комментарий#1</span>			
			}
		}
	}"",
   <span class=""key"">""url""</span>: ""http://msk10oktell1/inbound_message"",
   <span class=""key"">""contentType""</span>: ""ApplicationJson""
}
  
</pre>
</body>
</html>",NAV,oktell,tset,tset,tset,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
