id,title,body,subtitle,link,img_fullpath,searching_tag1,searching_tag2,searching_tag3,searching_tag4,searching_tag5,searching_tag6,searching_tag7,searching_tag8,searching_tag9,searching_tag10,searching_tag11,searching_tag12,searching_tag13,searching_tag14,searching_tag15,searching_tag16,searching_tag17,searching_tag18,searching_tag19,searching_tag20
1,"DocsInBox: добавлен метод проверки соединения","см. документацию http://docs.dxbx.apiary.io",,/news/one,../../assets/img/news/dxbx.png,интеграция,dxbx,"за последний квартал",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"DocsInBox: добавлен метод проверки ИНН","см. документацию http://docs.dxbx.apiary.io",,/news/one,../../assets/img/news/dxbx.png,интеграция,dxbx,"за последний квартал",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"DocsInBox: добавлен метод отправки инвойса","см. документацию http://docs.dxbx.apiary.io",,/news/one,../../assets/img/news/dxbx.png,документы,dxbx,"за последний квартал",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"HandBook: добавлена подгрузка классификаторов","см. раздел ""Интеграция"".",,/news/one,NULL,справочники,bitrix,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"КонтактЦентр: добавлен метод карточки клиента","см. раздел ""Интеграция"".",,/news/one,../../assets/img/news/oktell.png,справочники,contact-center,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"КонтактЦентр: добавлен метод сотрудников","см. раздел ""Интеграция"".",,/news/one,../../assets/img/news/oktell.png,справочники,contact-center,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"КонтактЦентр: добавлен метод связки клиент-сотрудник","см. раздел ""Интеграция"".",,/news/one,../../assets/img/news/oktell.png,справочники,contact-center,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"КонтактЦентр: добавлен метод связки контакт-сотрудник","см. раздел ""Интеграция"".",,/news/one,../../assets/img/news/oktell.png,справочники,contact-center,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"КонтактЦентр: добавлен метод заказа-продажи","см. раздел ""Интеграция"".",,/news/one,../../assets/img/news/oktell.png,документы,contact-center,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"КонтактЦентр: добавлен метод строк заказа-продажи","см. раздел ""Интеграция"".",,/news/one,../../assets/img/news/oktell.png,документы,contact-center,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"iSimple: добавлен метод товарного каталога","см. раздел ""Интеграция"".",,/news/one,NULL,справочники,isimple,"за последний месяц",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
