id,parent_id,param,desc,type,sample,required
4,4,@_outerCustomerId,"внешний клиент но.",VARCHAR,К48652,0
5,4,@_outerSorderId,"внешний заказ но.",VARCHAR,ПУНКТ,0
6,4,@_customerId,"nav клиент но.",VARCHAR,СИМПЛ,0
7,2,@CompanyName,"компания название",VARCHAR,СИМПЛ,0
8,2,@ShipmentType,"тип отгрузки ",VARCHAR,ПУНКТ,0
9,2,@CustNo,"клиент имя",VARCHAR,К48652,0
10,5,@VendorNo,"поставщик имя",VARCHAR,П0001,0
11,5,@Date,"дата поставки",DATETIME,01/01/2016,0
12,6,@ShipmentCode,"код поставки",INTEGER,PO0001,0
13,7,@_parm1,параметр1,VARCHAR,1,0
14,3,@Month,Месяц,VARCHAR,1,0
15,7,@_parm2,параметр2,VARCHAR,"Пример использования: <..>",0
16,7,@_parm3,параметр3,VARCHAR,"Пример использования: <..>",0
17,7,@_parm4,параметр4,VARCHAR,"Пример использования: <..>",0
18,8,@_parm1,параметр1,VARCHAR,"Пример использования: <..>",0
19,8,@_parm2,параметр2,VARCHAR,"Пример использования: <..>",0
20,9,@_parm1,параметр1,VARCHAR,"Пример использования: <..>",0
21,9,@_parm2,параметр2,VARCHAR,"Пример использования: <..>",0
22,9,@_parm3,параметр3,VARCHAR,"Пример использования: <..>",0
23,10,@_parm1,параметр1,VARCHAR,"Пример использования: <..>",0
24,10,@_parm2,параметр2,VARCHAR,"Пример использования: <..>",0
25,11,@_parm1,параметр1,VARCHAR,"Пример использования: <..>",0
26,11,@_parm2,параметр2,VARCHAR,"Пример использования: <..>",0
27,12,@_parm1,параметр1,VARCHAR,"Пример использования: <..>",0
28,12,@_parm2,параметр2,VARCHAR,"Пример использования: <..>",0
29,13,@_parm1,параметр1,VARCHAR,"Пример использования: <..>",0
30,13,@_parm2,параметр2,VARCHAR,"Пример использования: <..>",0
31,13,@_parm3,параметр3,VARCHAR,"Пример использования: <..>",0
